objectId,objectId2,is_polar,is_bogus
ZTF17aaaehqt,,True,False
ZTF17aaarvmd,,True,False
ZTF17aaaslvp,,True,False
ZTF18aajqtnw,,True,False
ZTF18abwvggo,,True,False
ZTF18abvmlol,,True,False
ZTF18aavzkbh,ZTF18adjvzzl,True,False
ZTF18actbrbg,,True,False
ZTF17aabrukj,,True,False
ZTF20abragvw,,True,False
ZTF18abztpda,,True,False
ZTF17aaarmxh,,True,False
ZTF18aaylcic,,True,False
ZTF18acywwfg,,True,False
ZTF17aaaizfe,,True,False
ZTF18aaojabr,,True,False
ZTF19aapzvoj,,True,False
ZTF18aaznyge,,True,False
ZTF17aaaizeq,,True,False
ZTF18abuhqfi,,True,False
ZTF18acyutkw,,True,False
ZTF18abmqugk,,True,False
ZTF17aadihfl,,True,False
ZTF17aaaikoz,,True,False
ZTF18acnnsmq,,True,False
ZTF18aaadhno,,True,False
ZTF18aaadlpa,,True,False
ZTF18abnulwr,,True,False
ZTF17aabxlrc,,True,False
ZTF18abadsmu,,True,False
ZTF18aaaeozg,ZTF18aabfvtl,True,False
ZTF18aabjqhl,,True,False
ZTF18aahvhsb,,True,False
ZTF18aabktwo,,True,False
ZTF18aagrcve,,True,False
ZTF18abmahbc,,True,False
ZTF18aceqsfw,,True,False
ZTF18aaarims,,True,False
ZTF18aabfvtl,,True,False
ZTF17aabskxk,,True,False
ZTF18aacvbng,,True,False
ZTF17aaajhib,,True,False
ZTF18aalurkz,,True,False
ZTF18aaqphee,,True,False
ZTF19aacitsy,,True,False
ZTF18acuexzs,,True,False
ZTF18aajbbtc,ZTF18aditqga,True,False
ZTF18aabpzjg,,True,False
ZTF18aapovzp,ZTF18adjefml,True,False
ZTF18absgnqy,,True,False
ZTF18abnzukj,,False,False
ZTF19aadoqcb,,False,False
ZTF17aadrjsu,,False,False
ZTF17aaaitci,,False,False
ZTF18abbmkir,,False,False
ZTF17aaburzm,,False,False
ZTF17aaaadkj,,False,False
ZTF18aayxqoc,,False,False
ZTF18aabiwph,,False,False
ZTF18abwbjjy,,False,False
ZTF18aczrwdw,ZTF20aagtjlb,False,False
ZTF18acayemj,,False,False
ZTF19acjnxyl,,False,False
ZTF18aaadweo,,False,False
ZTF17aabhicw,ZTF20acodcxq,False,False
ZTF17aabzspo,,False,False
ZTF18aaxjjwu,,False,False
ZTF17aabglmw,,False,False
ZTF17aabdpti,,False,False
ZTF17aaajtfx,,False,False
ZTF18acrwtsm,,False,False
ZTF18abgkjbb,,False,False
ZTF18abcllsj,,False,False
ZTF18abxptpc,,False,False
ZTF18aabjjas,,False,False
ZTF17aacbihx,,False,False
ZTF18abaiuvj,,False,False
ZTF18abmeesl,ZTF18admcewc,False,False
ZTF18aabiixt,,False,False
ZTF18abvpodm,,False,False
ZTF17aabtdus,,False,False
ZTF19abujpyj,,False,False
ZTF18abnurba,ZTF18admoxby,False,False
ZTF18aabjkzk,,False,False
ZTF24aantqfi,,False,False
ZTF17aabtjog,,False,False
ZTF18abtcyai,,False,False
ZTF18abhwwmq,,False,False
ZTF18abadecm,,False,False
ZTF17aacuatx,,False,False
ZTF18aabahqd,ZTF18aabjgdh,False,False
ZTF20acodcxq,,False,False
ZTF19aaaonhi,,False,False
ZTF18aakgtsi,,False,False
ZTF17aaajocf,,True,True
ZTF17aacbuuj,,True,True
ZTF18aavooiu,,True,True
ZTF18abwiccd,,True,True
ZTF18aaxdlbl,,False,False
ZTF18acwyyqy,,False,False
